SAMPLE_ID	R1_Reads	R2_Reads2
TCGA-13-0913-01	675029004	675029004
TCGA-13-0913-02	148005204	148005204
TCGA-13-1489-01	423328608	423328608
TCGA-13-1489-02	422035368	422035368
TCGA-29-1705-01	406506332	406506332
TCGA-29-1705-02	715987576	715987576
TCGA-29-1770-01	414691956	414691956
TCGA-29-1770-02	593087136	593087136
TCGA-29-2414-01	352515820	352515820
TCGA-29-2414-02	321742760	321742760
TCGA-61-2008-01	363038004	363038004
TCGA-61-2008-02	234712788	234712788
